player_name,overall,height_(cm),weight_(kg),pace,acceleration,sprint_speed,dribbling,agility,balance,reactions,ball_control,composure,shooting,positioning,finishing,shot_power,long_shots,volleys,penalties,passing,vision,crossing,free_kick,short_pass,long_pass,pass_curve,defending,interceptions,heading,marking,standing_tackle,sliding_tackle,physicality,jumping,stamina,strength,aggression,diving,reflexes,handling,speed,kicking,positoning
Adlène Guédioura,71,178,81,65,66,65,71,64,66,67,71,69,67,58,60,83,73,71,56,68,68,61,55,74,77,35,65,66,62,64,68,64,72,74,57,77,77,0,0,0,0,0,0
Tobias Pereira Figueiredo,71,188,84,59,55,62,54,48,48,65,55,63,30,25,22,60,21,22,36,47,48,34,29,57,55,24,68,65,71,70,67,67,78,77,61,83,89,0,0,0,0,0,0
Liam Bridcutt,71,175,76,67,66,68,68,72,81,65,67,74,46,46,45,62,36,49,34,65,62,64,66,71,66,36,70,71,61,71,70,73,75,84,80,71,76,0,0,0,0,0,0
Costel Pantilimon,71,203,96,0,48,42,0,33,22,66,22,65,0,12,11,14,15,13,21,0,38,19,12,38,36,15,0,27,16,16,19,17,0,34,31,78,40,68,74,69,48,66,73
Enrico Valentini,71,182,78,77,78,76,71,71,70,69,71,67,59,55,55,69,62,51,61,69,61,78,71,71,62,70,65,63,55,67,67,68,74,68,78,71,77,0,0,0,0,0,0
Julien De Sart,71,186,73,59,57,60,67,64,71,68,68,73,62,45,53,75,71,69,55,70,71,66,67,72,73,69,68,71,64,68,68,67,70,58,80,64,74,0,0,0,0,0,0
Rudy Gestede,71,193,86,60,52,66,64,56,52,62,70,56,69,71,69,72,68,66,65,50,42,39,60,59,50,50,37,36,83,25,39,23,80,82,65,90,73,0,0,0,0,0,0
Ryan Shotton,71,191,84,64,61,67,61,59,48,69,66,62,52,54,50,65,44,38,59,61,61,67,37,65,61,35,72,68,69,74,73,71,77,64,79,81,68,0,0,0,0,0,0
Darren Randolph,71,188,78,0,41,44,0,50,43,68,33,36,0,11,14,36,14,16,30,0,35,11,14,33,34,15,0,18,16,15,14,14,0,61,34,57,29,73,72,65,41,66,70
George Friend,71,188,83,66,66,66,68,69,55,65,69,57,55,65,52,64,57,33,49,61,52,65,53,65,60,66,71,71,67,71,73,71,74,70,82,76,61,0,0,0,0,0,0
José Ignacio Martínez García,71,175,76,84,80,88,69,85,82,62,68,63,55,59,43,77,64,46,40,63,53,72,58,63,67,65,67,71,51,68,67,71,68,88,71,61,75,0,0,0,0,0,0
Borja Fernández Fernández,71,189,82,33,33,33,62,43,47,66,67,78,63,56,55,79,69,47,63,66,67,59,68,71,68,46,70,70,68,72,72,62,78,72,69,83,80,0,0,0,0,0,0
Antonio Jesús Regal Angulo,71,174,64,84,89,80,70,91,82,62,68,62,51,63,44,70,47,36,49,62,54,70,59,67,49,63,63,66,54,62,63,69,72,76,91,62,72,0,0,0,0,0,0
Jordan Obita,71,180,74,78,78,78,70,78,72,69,71,68,63,64,59,68,65,65,62,70,65,74,69,69,70,76,67,65,58,70,69,68,65,67,71,61,68,0,0,0,0,0,0
Paul McShane,71,183,81,46,44,47,51,47,57,62,66,53,37,36,33,47,31,54,41,59,48,64,36,65,68,36,70,69,67,73,68,69,73,82,54,78,82,0,0,0,0,0,0
Sebastian Andersson,71,190,85,72,66,76,59,57,55,69,58,61,67,76,73,69,53,65,60,47,59,28,42,60,31,38,25,22,79,19,17,20,76,62,77,78,71,0,0,0,0,0,0
Florian Hübner,71,193,84,53,54,53,45,52,48,66,54,65,43,44,40,62,35,25,44,48,37,50,21,58,51,31,71,72,73,68,74,71,71,50,59,79,72,0,0,0,0,0,0
Suleiman Abdullahi,71,185,86,87,85,89,70,69,69,62,70,62,67,69,69,75,63,40,66,45,57,33,32,59,19,38,21,17,63,14,18,12,77,64,66,87,68,0,0,0,0,0,0
Akaki Gogia,71,178,72,75,79,72,75,89,86,65,75,66,69,67,68,70,73,67,60,65,63,66,65,67,56,76,28,28,41,31,22,23,60,70,74,58,45,0,0,0,0,0,0
José Guerrero,71,175,75,41,41,41,68,57,67,68,70,66,49,39,42,62,53,44,51,66,64,64,45,69,72,73,68,71,64,69,67,63,74,63,77,73,76,0,0,0,0,0,0
Dario Dumic,71,193,85,54,40,65,47,52,40,61,54,62,45,31,41,69,41,22,31,54,47,39,56,65,61,48,69,62,83,71,67,65,78,77,73,85,68,0,0,0,0,0,0
Philip Heise,71,184,78,81,77,84,69,66,65,66,73,65,58,59,50,74,66,43,52,65,57,73,70,67,60,70,64,63,58,60,69,68,74,72,81,72,73,0,0,0,0,0,0
Brian Hamalainen,71,178,80,71,70,72,68,67,73,70,69,75,51,67,26,81,71,62,57,74,73,77,76,73,75,74,68,68,64,65,71,68,72,74,74,72,69,0,0,0,0,0,0
Marco Hartmann,71,194,94,49,46,52,54,37,50,72,56,76,56,53,51,67,57,49,54,53,54,38,40,62,63,36,74,75,71,75,74,70,81,41,80,85,80,0,0,0,0,0,0
Patrick Ebert,71,176,78,64,63,64,70,77,77,72,71,58,70,68,69,80,70,57,59,75,67,80,76,74,77,77,58,67,58,59,55,49,67,64,66,68,67,0,0,0,0,0,0
Collins Fai,71,167,72,86,90,82,69,90,91,65,64,64,32,58,22,54,28,23,34,57,59,58,31,63,59,21,69,68,53,71,71,72,68,92,82,54,81,0,0,0,0,0,0
Carlos Vinícius Santos de Jesús,71,180,75,70,73,68,74,71,73,71,74,68,64,67,58,75,72,58,42,67,66,66,66,69,65,68,40,40,60,37,38,35,69,73,63,74,65,0,0,0,0,0,0
Luis Pedro Cavanda,71,180,76,77,74,80,71,72,72,67,73,58,56,65,47,69,66,42,50,62,50,67,51,65,62,74,68,69,61,68,70,70,71,73,69,71,71,0,0,0,0,0,0
Adama Niane,71,182,70,72,73,71,68,74,66,65,67,68,69,74,71,70,66,66,63,55,50,49,44,69,38,54,19,12,68,13,14,15,70,80,69,76,55,0,0,0,0,0,0
Aleksandar Bjelica,71,184,81,66,67,66,69,60,60,67,70,63,53,54,34,79,68,56,46,70,66,74,70,69,71,72,68,69,68,65,69,70,75,68,73,76,79,0,0,0,0,0,0
Fernando Canesín Matos,71,176,72,78,81,75,74,82,76,68,73,67,61,68,58,62,63,66,63,66,72,65,61,67,61,67,30,39,47,21,29,27,60,76,76,53,52,0,0,0,0,0,0
Peter Ankersen,71,179,75,82,81,82,69,77,72,67,69,60,61,66,58,70,65,60,40,66,65,67,61,68,65,63,66,65,54,68,68,68,68,68,85,63,58,0,0,0,0,0,0
Jonathan Spector,71,182,80,62,58,65,63,69,65,69,68,68,53,55,50,57,56,42,51,61,53,57,52,68,63,55,70,73,67,72,69,64,73,88,74,72,72,0,0,0,0,0,0
Graham Dorrans,71,179,78,60,62,59,70,69,71,69,71,77,67,65,62,73,73,62,68,73,75,71,67,75,71,72,57,63,61,53,55,59,67,67,71,66,64,0,0,0,0,0,0
Rodrigo Defendi,71,190,83,37,39,36,49,49,44,68,61,66,30,32,26,35,32,24,33,47,45,32,36,59,51,28,71,73,77,70,71,62,70,56,51,81,72,0,0,0,0,0,0
Vitor Hugo Gomes da Silva,71,183,81,58,55,60,70,63,59,70,74,70,62,66,53,77,70,50,59,71,72,73,73,73,68,61,63,68,70,55,65,66,73,76,65,75,77,0,0,0,0,0,0
Diego Fortunato dos Santos Queiroz,71,185,80,54,55,53,51,55,56,66,56,70,29,28,23,43,26,34,43,41,29,36,27,56,39,33,72,74,73,72,71,68,68,87,53,74,69,0,0,0,0,0,0
Bruno Manuel Araújo Braga,71,181,75,49,48,49,72,62,62,66,75,80,73,71,66,82,78,74,74,73,72,72,61,76,73,70,54,58,54,56,56,38,67,57,54,72,74,0,0,0,0,0,0
Amilton Minervino da Silva,71,172,66,91,90,91,74,78,80,70,70,71,69,71,68,80,64,55,62,58,59,67,42,59,42,65,33,41,43,31,27,30,66,54,75,58,78,0,0,0,0,0,0
Nélson Ricardo Rodrigues Lenho,71,178,71,68,68,68,70,64,66,69,70,68,47,70,42,52,48,49,46,71,67,77,51,74,65,76,67,70,54,65,70,71,74,70,75,73,78,0,0,0,0,0,0
Rilwan Hassan,71,172,64,84,82,85,74,84,81,64,71,66,64,69,61,73,64,58,46,64,68,66,40,66,60,58,53,55,61,58,51,36,64,84,71,52,80,0,0,0,0,0,0
Marc Dal Hende,71,179,75,78,77,78,70,69,75,72,70,71,65,70,68,66,57,66,54,64,60,65,52,66,66,63,68,66,68,67,69,68,80,80,83,78,81,0,0,0,0,0,0
Nabil Ghilas,71,183,85,70,68,72,69,59,59,66,72,80,70,68,70,77,62,77,78,60,60,60,52,64,50,66,33,42,65,28,25,26,69,66,34,83,78,0,0,0,0,0,0
Ricardo Martins de Araújo,71,189,80,54,54,54,42,66,58,65,49,65,28,31,19,47,27,23,42,40,25,28,37,59,35,27,72,74,72,71,72,72,72,76,58,78,71,0,0,0,0,0,0
Cyriac Gohi Bi Zoro,71,172,75,85,84,85,71,86,80,69,68,69,70,67,70,70,71,67,69,62,66,64,60,67,44,58,34,24,68,39,28,26,61,92,68,61,43,0,0,0,0,0,0
Mattias Bjärsmyr,71,186,82,57,53,60,48,57,56,68,53,71,34,33,28,47,34,34,34,44,31,40,37,50,53,40,71,72,62,72,72,70,74,83,61,77,78,0,0,0,0,0,0
Patricio Toranzo,71,178,73,50,55,45,71,67,63,66,76,56,67,64,63,71,73,62,63,75,76,77,75,75,73,76,58,64,49,59,55,58,65,68,55,71,64,0,0,0,0,0,0
Juan Garro,71,179,71,78,79,78,71,72,65,69,73,59,65,73,72,72,43,58,66,61,65,62,36,65,58,48,25,14,66,25,21,22,65,63,74,74,31,0,0,0,0,0,0
Farid Boulaya,71,179,70,76,77,76,74,75,70,60,74,58,65,64,62,76,67,54,56,69,70,72,73,68,64,74,25,26,42,21,22,28,52,61,55,45,61,0,0,0,0,0,0
Alexandre Oukidja,71,184,79,0,48,45,0,54,58,67,12,56,0,11,14,26,19,15,24,0,13,13,18,24,27,11,0,18,16,12,19,12,0,56,44,44,24,72,76,67,48,62,70
John Boye,71,184,73,64,66,63,57,65,61,68,58,55,33,38,36,43,23,11,28,55,51,55,16,62,60,36,70,68,75,69,72,65,76,81,71,75,81,0,0,0,0,0,0
Laurent Jans,71,178,76,76,77,75,69,73,67,68,67,66,49,62,39,65,56,37,49,66,64,71,57,67,64,65,68,68,61,67,70,71,70,75,80,65,69,0,0,0,0,0,0
Habib Diallo,71,186,79,70,72,69,68,66,67,64,67,65,68,67,75,68,56,65,63,50,61,35,36,59,42,49,22,19,76,13,17,17,70,71,66,81,47,0,0,0,0,0,0
Bryan Acosta,71,175,73,86,83,88,68,77,87,72,68,68,69,69,62,86,76,44,62,67,75,56,73,67,72,49,63,65,57,61,67,62,80,72,84,78,84,0,0,0,0,0,0
Francisco Montañés Claverías,71,172,73,87,89,85,73,87,83,69,66,75,64,66,60,75,63,66,60,65,66,68,62,65,60,76,42,38,42,55,40,21,63,79,66,65,51,0,0,0,0,0,0
Alexander Mesa Travieso,71,173,71,83,89,78,70,76,77,71,71,65,67,72,67,70,63,67,69,61,61,62,48,66,46,72,30,21,62,29,29,20,69,76,72,77,43,0,0,0,0,0,0
Alberto Brignoli,71,187,74,0,31,33,0,22,32,64,23,53,0,11,20,55,11,19,22,0,38,17,12,36,42,17,0,11,30,20,21,20,0,58,34,42,12,70,72,72,31,75,68
Carlos Miguel Ribeiro Dias,71,183,84,64,65,64,68,58,66,66,71,64,67,68,57,84,73,70,69,62,58,50,46,71,70,54,66,69,71,58,69,67,83,61,87,83,83,0,0,0,0,0,0
Daniel Rosero Valencia,71,181,81,73,69,76,59,63,63,63,50,54,39,43,33,48,36,46,49,53,44,65,37,56,49,46,72,70,77,73,73,66,77,87,91,79,54,0,0,0,0,0,0
Didier Delgado,71,185,70,89,89,89,62,67,54,67,62,56,55,64,55,54,54,40,64,61,62,69,26,65,55,53,68,63,61,71,70,67,68,75,77,64,66,0,0,0,0,0,0
Kevin Balanta,71,179,73,65,66,65,64,73,64,73,70,54,49,60,39,64,58,36,43,56,57,33,37,69,71,36,69,66,70,73,69,57,78,78,84,73,81,0,0,0,0,0,0
Darwin Andrade,71,173,70,80,78,82,66,75,71,67,63,69,41,55,44,56,23,23,37,55,29,70,30,64,67,30,66,68,59,61,71,70,69,70,85,60,73,0,0,0,0,0,0
Kevin Müller,71,190,90,0,49,46,0,48,43,69,18,52,0,11,13,18,15,11,20,0,10,12,16,21,20,13,0,20,13,12,10,10,0,67,31,76,41,70,74,68,49,59,70
Bilal Kisa,71,180,70,47,55,40,71,63,64,64,73,68,72,60,67,81,81,57,74,76,75,79,77,74,76,80,58,56,55,64,56,53,55,61,54,55,54,0,0,0,0,0,0
Paulo Henrique Carneiro Filho,71,185,80,65,67,64,72,71,76,68,71,70,70,69,69,75,69,67,64,60,65,58,61,60,56,62,35,24,72,41,28,21,76,82,78,78,66,0,0,0,0,0,0
Mustafa Yumlu,71,191,77,37,39,36,48,46,40,62,51,63,37,26,32,56,30,32,44,45,37,22,24,62,59,22,70,69,76,69,69,67,78,68,68,84,79,0,0,0,0,0,0
Sérgio Antônio Borges Júnior,71,178,70,63,64,62,71,65,69,78,70,71,64,68,64,69,69,31,60,68,67,68,58,73,67,45,67,69,59,70,65,72,72,79,73,70,75,0,0,0,0,0,0
Dany Nounkeu,71,184,80,78,77,79,62,67,54,62,65,61,32,31,24,48,37,27,34,52,43,51,24,59,60,54,69,67,73,69,72,63,77,82,73,79,75,0,0,0,0,0,0
Kingsley Schindler,71,183,80,86,87,85,67,74,72,64,65,58,66,69,73,64,57,51,65,63,66,69,41,65,55,55,45,40,47,46,48,40,68,80,79,72,41,0,0,0,0,0,0
Joel Castro Pereira,71,188,70,0,43,43,0,34,44,68,20,54,0,14,12,12,11,7,12,0,55,10,11,36,20,9,0,20,11,13,11,9,0,54,34,56,22,69,72,74,43,65,69
Luís Miguel Lopes Mendes,71,170,67,78,74,81,71,87,86,72,67,70,48,61,41,66,45,48,43,60,55,67,46,66,55,42,68,72,52,68,69,70,62,84,78,49,70,0,0,0,0,0,0
Nuno Miguel Pereira Reis,71,182,76,66,65,67,62,69,65,67,62,67,48,42,43,56,49,44,58,55,46,53,53,62,58,50,71,68,71,72,73,70,71,82,73,70,66,0,0,0,0,0,0
Sean Davis,71,183,75,69,69,69,70,71,69,66,73,71,60,62,59,65,60,54,58,70,68,64,67,75,71,70,65,62,63,67,66,62,70,67,78,69,65,0,0,0,0,0,0
Graham Zusi,71,178,72,68,69,68,71,65,78,68,70,76,71,77,63,81,78,70,73,77,75,77,72,77,78,82,65,65,58,65,68,67,73,64,92,68,65,0,0,0,0,0,0
Samir Memievic,71,185,77,59,51,65,53,35,64,62,50,60,32,30,26,54,26,20,41,50,34,40,28,66,64,30,70,76,73,70,66,62,77,87,75,77,77,0,0,0,0,0,0
Mike te Wierik,71,191,73,61,54,67,59,60,47,67,62,69,48,52,40,60,53,49,37,60,59,60,31,66,64,33,70,72,72,70,69,69,73,65,72,77,67,0,0,0,0,0,0
Brayan Garnica,71,167,56,80,79,81,74,86,84,61,74,68,65,63,68,72,58,52,50,65,59,70,40,72,62,50,33,32,40,33,31,30,58,52,76,56,40,0,0,0,0,0,0
Clifford Aboagye,71,163,55,80,81,79,77,82,86,69,80,64,59,60,51,68,66,54,68,73,70,67,62,79,74,69,43,53,42,40,39,48,60,47,69,60,52,0,0,0,0,0,0
Miguel Samudio,71,172,74,77,75,78,69,61,67,69,71,69,60,64,51,76,67,50,54,64,57,70,60,67,56,69,66,62,67,64,68,70,78,76,79,80,70,0,0,0,0,0,0
Adrian Stoian,71,178,66,72,68,75,77,85,83,65,77,73,65,67,59,70,71,67,65,67,63,69,73,67,63,77,35,22,60,41,30,32,50,74,69,34,60,0,0,0,0,0,0
David Ousted,71,192,88,0,38,36,0,39,44,74,20,52,0,12,14,25,15,14,21,0,50,12,13,26,38,13,0,9,14,15,19,13,0,60,33,64,35,69,69,72,38,66,68
Zoltán Stieber,71,175,67,71,73,69,73,75,80,67,72,69,66,68,63,73,63,70,65,70,74,74,69,70,56,75,36,31,45,44,31,32,55,65,71,51,41,0,0,0,0,0,0
Shkëlzen Gashi,71,182,75,69,67,71,70,75,66,69,74,66,72,73,67,81,73,76,70,70,69,67,75,72,70,76,54,53,73,51,55,45,71,78,67,69,77,0,0,0,0,0,0
Ben Rienstra,71,182,67,66,64,67,69,64,70,70,72,74,66,65,63,73,69,58,56,65,71,45,55,72,69,63,67,65,68,67,68,66,74,72,83,73,68,0,0,0,0,0,0
Kamohelo Mokotjo,71,175,72,66,67,65,69,69,81,69,73,78,50,60,46,59,52,40,50,67,67,52,46,78,71,51,64,70,42,62,70,64,68,74,75,66,62,0,0,0,0,0,0
Atsuto Uchida,71,176,70,66,67,65,74,73,71,72,75,70,47,71,36,68,49,34,41,70,65,74,36,74,73,68,73,73,61,76,73,74,56,77,50,55,60,0,0,0,0,0,0
Neal Maupay,71,171,69,74,77,72,67,74,79,72,69,60,69,75,73,70,58,66,69,64,67,60,55,69,58,63,39,26,60,30,52,33,65,60,64,66,65,0,0,0,0,0,0
Seung Hyeon Jeong,71,188,89,42,37,46,37,33,33,63,37,59,24,28,19,36,17,24,35,46,48,32,47,54,44,52,71,71,75,69,72,72,77,77,64,86,70,0,0,0,0,0,0
Romaine Sawyers,71,185,67,71,70,71,72,82,80,60,74,75,64,64,61,70,66,62,57,69,74,54,51,76,72,67,41,33,53,42,45,34,61,46,66,70,37,0,0,0,0,0,0
Sun Tae Kwoun,71,184,85,0,39,47,0,67,51,73,24,57,0,17,16,21,13,11,22,0,64,10,12,35,34,14,0,24,18,18,14,20,0,68,20,69,24,71,70,70,39,65,70
Henrik Dalsgaard,71,192,81,83,77,88,67,68,66,64,67,58,60,73,58,72,54,51,52,62,55,70,52,66,60,48,66,65,57,63,72,70,72,65,74,73,68,0,0,0,0,0,0
Omar Hawsawi,71,185,76,69,68,70,49,70,49,71,48,61,29,45,20,40,32,21,36,46,36,26,26,68,48,30,68,72,68,61,71,69,81,80,74,86,76,0,0,0,0,0,0
Nicolò Brighenti,71,178,75,69,72,67,55,71,70,65,55,62,33,19,24,47,39,24,48,45,25,49,32,55,52,37,71,68,74,72,71,70,71,82,66,73,69,0,0,0,0,0,0
Bartosz Salamon,71,196,89,48,41,53,60,56,32,66,68,66,46,30,35,71,54,24,41,59,57,38,59,68,71,45,71,69,70,71,73,70,71,82,62,76,65,0,0,0,0,0,0
Yussif Raman Chibsah,71,177,78,70,74,66,71,80,83,74,70,63,61,64,58,70,63,44,52,65,62,59,46,73,68,50,66,75,60,64,66,62,75,65,87,69,75,0,0,0,0,0,0
Marco Capuano,71,186,80,66,65,67,56,66,64,66,52,68,33,25,20,59,38,18,41,49,36,45,21,59,59,40,70,68,70,70,71,70,80,77,74,87,69,0,0,0,0,0,0
Luka Krajnc,71,187,86,65,65,65,60,58,64,62,64,63,33,54,25,44,30,37,44,53,31,58,26,64,61,48,69,68,65,68,72,70,75,77,65,84,66,0,0,0,0,0,0
Arturo Mina,71,190,84,51,52,50,52,38,45,66,61,55,36,38,30,52,33,30,45,52,44,43,41,64,57,27,70,67,77,72,68,65,77,67,56,92,66,0,0,0,0,0,0
Mads Albæk,71,185,77,53,53,53,68,72,65,69,71,71,65,61,62,71,70,65,57,71,71,70,63,72,76,70,64,69,47,69,64,56,73,56,71,74,75,0,0,0,0,0,0
Moses Odubajo,71,177,72,85,82,88,71,83,77,63,68,66,60,60,61,64,65,31,51,63,68,61,42,66,62,47,70,67,63,70,73,70,72,81,70,74,69,0,0,0,0,0,0
Simone Grippo,71,188,82,59,57,61,56,58,48,61,62,62,54,61,48,62,58,49,56,61,60,53,54,67,60,55,67,66,80,67,68,56,82,82,78,86,79,0,0,0,0,0,0
Jorge Marcos Pombo Escobar,71,173,78,63,62,64,67,59,73,66,68,64,71,69,69,80,72,60,62,71,68,68,69,75,73,62,58,52,63,58,61,55,79,67,75,85,72,0,0,0,0,0,0
Osvaldo González,71,182,79,47,54,41,58,59,39,64,61,71,49,25,32,74,70,43,52,62,58,66,42,66,63,48,71,70,69,74,68,70,75,75,69,77,78,0,0,0,0,0,0
Alberto Benito Correo,71,177,68,77,78,76,67,73,72,64,66,64,41,61,28,56,52,36,44,59,47,69,49,62,59,58,66,65,58,62,73,70,76,64,93,71,70,0,0,0,0,0,0
Elvis Perlaza,71,173,72,75,74,76,60,73,75,65,58,60,31,48,24,57,19,19,31,63,57,76,26,72,56,35,64,62,53,60,70,73,73,74,92,61,80,0,0,0,0,0,0
Andrés Ricaurte,71,182,70,75,80,70,68,66,59,71,72,68,57,63,57,55,58,41,61,72,79,69,57,73,75,56,61,66,45,50,72,65,73,68,78,70,74,0,0,0,0,0,0
Lindsay Rose,71,186,88,69,69,69,62,66,60,64,61,67,41,36,38,55,39,31,36,56,46,60,36,63,57,41,71,69,71,70,72,71,76,72,79,76,75,0,0,0,0,0,0
Alex Wilkinson,71,187,85,43,38,47,51,51,53,62,60,61,46,50,36,60,49,53,58,54,57,33,33,68,59,37,71,69,68,70,74,69,76,70,74,78,75,0,0,0,0,0,0
Augusto Batalla,71,185,79,0,43,42,0,37,43,71,18,34,0,17,14,22,15,13,23,0,28,17,17,25,22,13,0,23,16,20,18,17,0,56,33,76,26,72,73,69,43,67,64
Jorge Ortiz,71,180,74,68,69,68,68,67,69,66,71,67,61,66,53,72,66,67,63,71,67,64,65,77,75,67,66,69,59,67,69,59,70,78,73,65,75,0,0,0,0,0,0
Hernán Menosse,71,185,77,63,59,66,42,33,72,63,50,64,36,27,28,65,23,36,55,48,39,36,40,58,60,35,70,67,76,72,69,68,80,66,73,86,79,0,0,0,0,0,0
Lucas Acosta,71,187,84,0,65,62,0,62,62,66,15,3,0,17,17,25,13,16,25,0,26,12,19,25,22,18,0,28,19,16,21,21,0,68,44,77,20,70,73,72,65,67,67
Federico Lértora,71,176,73,63,64,62,65,64,54,65,70,61,51,54,52,59,40,53,58,66,63,64,58,69,68,57,72,67,63,73,76,74,74,78,75,74,72,0,0,0,0,0,0
Rachid Alioui,71,186,82,72,68,76,68,71,46,63,70,65,70,70,71,75,71,55,55,59,66,57,74,60,43,63,33,36,67,41,19,11,68,73,66,77,49,0,0,0,0,0,0
Umut Bozok,71,178,75,79,79,79,71,78,71,66,70,70,70,72,75,65,64,68,72,57,65,49,54,66,40,48,24,13,66,35,11,12,64,69,65,67,56,0,0,0,0,0,0
Anthony Briançon,71,185,79,59,66,53,53,57,64,60,60,65,48,49,34,68,63,40,43,54,60,36,39,64,57,42,70,71,66,70,72,65,78,70,76,81,76,0,0,0,0,0,0
Mariano Pavone,71,181,81,52,55,49,63,55,75,66,70,77,75,75,73,76,80,70,74,56,56,50,64,62,50,52,31,22,76,30,27,21,82,87,72,89,77,0,0,0,0,0,0
Hotaru Yamaguchi,71,173,72,77,79,76,73,84,82,67,75,72,54,52,52,61,55,53,41,66,68,49,46,76,72,55,63,69,52,58,68,66,69,78,77,63,72,0,0,0,0,0,0
Matej Jonjic,71,187,83,68,65,71,49,62,34,67,48,58,42,39,47,38,40,33,34,45,35,38,25,57,53,29,72,68,77,71,74,71,71,73,62,80,57,0,0,0,0,0,0
Osmar Ibañez Barba,71,192,89,51,52,51,52,33,34,60,59,59,57,57,45,70,70,44,68,65,70,54,55,67,72,65,69,73,71,63,71,74,86,69,89,91,73,0,0,0,0,0,0
Josh Risdon,71,169,70,75,76,74,62,60,87,57,64,60,48,43,48,50,55,30,43,57,43,69,38,61,57,56,70,74,53,68,75,73,80,92,85,79,71,0,0,0,0,0,0
Josh Scowen,71,178,74,60,61,60,67,74,73,69,67,63,53,60,51,56,56,42,42,65,64,61,65,68,66,58,70,72,57,70,72,68,73,85,86,64,78,0,0,0,0,0,0
Tomer Hemed,71,186,80,49,43,53,66,61,56,74,73,65,72,74,72,76,66,73,85,52,51,45,54,61,44,52,35,34,77,27,37,15,72,76,59,77,74,0,0,0,0,0,0
Joe Bennett,71,178,74,66,74,60,67,72,68,70,67,64,42,53,35,65,28,51,45,65,59,70,61,68,65,48,71,74,63,70,71,71,68,71,69,65,75,0,0,0,0,0,0
Nathaniel Mendez-Laing,71,180,75,85,86,85,73,72,70,67,72,61,64,65,65,67,65,51,48,62,65,66,49,63,57,59,32,46,53,21,30,24,65,62,74,71,40,0,0,0,0,0,0
Lee Tomlin,71,180,74,61,62,61,71,72,74,63,71,66,71,69,69,76,72,65,70,68,75,60,72,70,64,65,37,46,53,29,36,33,65,58,54,66,76,0,0,0,0,0,0
Callum Paterson,71,187,76,76,72,79,66,66,59,77,67,58,67,74,69,72,63,68,46,66,71,70,32,67,68,48,69,66,78,67,69,68,86,93,91,83,85,0,0,0,0,0,0
Jon Ander Garrido Moracia,71,185,81,39,38,39,52,33,39,62,61,65,43,50,32,68,45,34,38,58,59,41,49,69,62,41,68,75,52,63,78,55,88,53,86,93,85,0,0,0,0,0,0
David Accam,71,174,79,90,90,90,73,84,76,64,66,65,68,68,66,78,64,62,64,63,70,68,67,62,43,72,40,47,45,22,50,46,61,55,66,58,63,0,0,0,0,0,0
Dejan Lekic,71,193,88,45,46,45,62,55,38,72,62,54,71,76,72,71,67,70,67,58,56,44,51,72,45,66,32,20,77,36,24,27,70,45,51,86,58,0,0,0,0,0,0
Jonas Knudsen,71,185,82,77,77,77,66,73,75,63,67,56,45,64,25,70,64,29,41,64,59,68,62,65,63,64,68,66,65,70,69,68,72,70,83,69,66,0,0,0,0,0,0
Luke Chambers,71,185,87,63,64,63,53,54,60,64,61,55,26,21,23,40,24,17,25,53,50,52,17,61,58,34,70,65,73,72,71,67,78,75,77,79,77,0,0,0,0,0,0
Stéphane Sparagna,71,186,82,63,65,61,45,41,62,61,50,64,32,26,23,49,32,32,42,45,32,33,27,55,60,40,71,71,63,71,75,71,76,84,68,79,76,0,0,0,0,0,0
Rui Filipe Caetano Moura,71,177,74,69,72,67,69,73,71,74,69,63,59,60,46,77,69,57,58,70,64,70,69,73,69,68,69,72,52,68,73,68,71,78,77,65,77,0,0,0,0,0,0
Mateus Galiano da Costa,71,176,75,78,78,78,73,75,72,71,68,71,71,73,72,73,70,70,59,67,68,67,74,68,61,61,42,46,56,48,31,33,63,74,53,65,66,0,0,0,0,0,0
Eduardo José Borges Machado,71,175,67,72,70,74,70,72,75,75,71,61,44,58,34,71,36,33,45,50,37,63,38,57,30,64,71,69,64,68,75,75,69,72,76,62,76,0,0,0,0,0,0
Hannes Van Der Bruggen,71,180,74,55,57,54,67,69,67,69,71,73,62,68,54,73,68,63,58,70,72,67,65,72,71,68,66,71,60,66,64,63,67,58,78,63,66,0,0,0,0,0,0
Ilombe Mboyo,71,186,82,69,68,69,70,67,59,67,72,74,69,72,69,70,68,61,70,66,70,64,66,68,58,62,38,38,71,27,39,30,74,72,65,81,69,0,0,0,0,0,0
Jesus Olmo Lozano,71,179,82,65,62,68,51,69,68,63,57,61,48,51,50,62,34,46,29,54,55,47,20,62,59,39,68,67,80,71,63,68,76,92,74,75,77,0,0,0,0,0,0
Sung Ryong Jung,71,191,90,0,41,49,0,14,43,70,14,52,0,14,12,18,16,17,12,0,39,10,11,32,33,19,0,25,14,10,11,12,0,45,25,41,31,70,72,66,41,78,69
Elson Ferreira de Souza,71,180,78,75,75,75,73,72,58,65,75,65,65,75,68,69,62,44,47,63,59,74,33,67,60,39,65,64,57,62,69,70,81,76,91,82,67,0,0,0,0,0,0
Mark Beevers,71,193,80,51,50,51,46,43,33,62,60,61,38,26,36,53,27,38,45,44,45,31,57,52,45,21,70,72,75,65,72,70,78,70,76,83,71,0,0,0,0,0,0
Sammy Ameobi,71,194,78,79,73,83,74,76,55,66,73,55,69,64,68,70,73,62,68,63,64,64,62,64,60,60,35,42,60,35,26,19,66,33,67,75,52,0,0,0,0,0,0
